title,author,date,views,likes,link,categoria,grupo
Why you should get paid for your data,Jennifer Zhu Scott,December 2019,3200000,98000,https://ted.com/talks/jennifer_zhu_scott_why_you_should_get_paid_for_your_data,1,43
In praise of slowness,Carl Honoré,July 2005,3200000,98000,https://ted.com/talks/carl_honore_in_praise_of_slowness,1,44
3 rules to spark learning,Ramsey Musallam,April 2013,3200000,98000,https://ted.com/talks/ramsey_musallam_3_rules_to_spark_learning,1,45
How to defeat a dragon with math,Garth Sundem,January 2013,3200000,98000,https://ted.com/talks/garth_sundem_how_to_defeat_a_dragon_with_math,1,46
"Museums should honor the everyday, not just the extraordinary",Ariana Curtis,November 2018,3200000,98000,https://ted.com/talks/ariana_curtis_museums_should_honor_the_everyday_not_just_the_extraordinary,1,47
How porn changes the way teens think about sex,Emily F. Rothman,November 2018,3200000,98000,https://ted.com/talks/emily_f_rothman_how_porn_changes_the_way_teens_think_about_sex,1,48
A tale of two political systems,Eric X. Li,June 2013,3200000,98000,https://ted.com/talks/eric_x_li_a_tale_of_two_political_systems,1,49
Why videos go viral,Kevin Allocca,November 2011,3200000,98000,https://ted.com/talks/kevin_allocca_why_videos_go_viral,1,50
Religions and babies,Hans Rosling,April 2012,3200000,98000,https://ted.com/talks/hans_rosling_religions_and_babies,1,51
This is what makes employees happy at work,Michael C. Bush,December 2018,3200000,97000,https://ted.com/talks/michael_c_bush_this_is_what_makes_employees_happy_at_work,1,52
3 lessons of revolutionary love in a time of rage,Valarie Kaur,November 2017,3200000,97000,https://ted.com/talks/valarie_kaur_3_lessons_of_revolutionary_love_in_a_time_of_rage,1,53
What gives a dollar bill its value?,Doug Levinson,June 2014,3200000,97000,https://ted.com/talks/doug_levinson_what_gives_a_dollar_bill_its_value,1,54
The shared experience of absurdity,Charlie Todd,May 2011,3200000,97000,https://ted.com/talks/charlie_todd_the_shared_experience_of_absurdity,1,55
Animations of unseeable biology,Drew Berry,May 2011,3200000,97000,https://ted.com/talks/drew_berry_animations_of_unseeable_biology,1,56
How to transform apocalypse fatigue into action on global warming,Per Espen Stoknes,September 2017,3200000,97000,https://ted.com/talks/per_espen_stoknes_how_to_transform_apocalypse_fatigue_into_action_on_global_warming,1,57
We need to track the world's water like we track the weather,Sonaar Luthra,July 2019,3200000,97000,https://ted.com/talks/sonaar_luthra_we_need_to_track_the_world_s_water_like_we_track_the_weather,1,58
The $8 billion iPod,Rob Reid,March 2012,3200000,97000,https://ted.com/talks/rob_reid_the_8_billion_ipod,1,59
"""A Bird Made of Birds""",Sarah Kay,April 2019,3200000,97000,https://ted.com/talks/sarah_kay_a_bird_made_of_birds,1,60
Can you solve the stolen rubies riddle?,Dennis Shasha,October 2018,3200000,96000,https://ted.com/talks/dennis_shasha_can_you_solve_the_stolen_rubies_riddle,1,61
Why being respectful to your coworkers is good for business,Christine Porath,January 2018,3200000,96000,https://ted.com/talks/christine_porath_why_being_respectful_to_your_coworkers_is_good_for_business,1,62
Why you should talk to strangers,Kio Stark,February 2016,3200000,96000,https://ted.com/talks/kio_stark_why_you_should_talk_to_strangers,1,63
What will humans look like in 100 years?,Juan Enriquez,June 2016,3200000,96000,https://ted.com/talks/juan_enriquez_what_will_humans_look_like_in_100_years,1,64
The genius of Marie Curie,Shohini Ghose,June 2017,3200000,96000,https://ted.com/talks/shohini_ghose_the_genius_of_marie_curie,1,65
Txtng is killing language. JK!!!,John McWhorter,February 2013,3200000,96000,https://ted.com/talks/john_mcwhorter_txtng_is_killing_language_jk,1,66
"9 myths about psychology, debunked",Ben Ambridge,November 2014,3200000,96000,https://ted.com/talks/ben_ambridge_9_myths_about_psychology_debunked,1,67
Hawking's black hole paradox explained,Fabio Pacucci,October 2019,3100000,95000,https://ted.com/talks/fabio_pacucci_hawking_s_black_hole_paradox_explained,1,68
The surprising ingredient that makes businesses work better,Marco Alverà,October 2017,3100000,95000,https://ted.com/talks/marco_alvera_the_surprising_ingredient_that_makes_businesses_work_better,1,69
Three ideas. Three contradictions. Or not.,Hannah Gadsby,April 2019,3100000,95000,https://ted.com/talks/hannah_gadsby_three_ideas_three_contradictions_or_not,1,70
Exploring the mind of a killer,Jim Fallon,February 2009,3100000,95000,https://ted.com/talks/jim_fallon_exploring_the_mind_of_a_killer,1,71
Atheism 2.0,Alain de Botton,July 2011,3100000,95000,https://ted.com/talks/alain_de_botton_atheism_2_0,1,72
How racial bias works — and how to disrupt it,Jennifer L. Eberhardt,June 2020,3100000,95000,https://ted.com/talks/jennifer_l_eberhardt_how_racial_bias_works_and_how_to_disrupt_it,1,73
The little risks you can take to increase your luck,Tina Seelig,June 2018,3100000,95000,https://ted.com/talks/tina_seelig_the_little_risks_you_can_take_to_increase_your_luck,1,74
Printing a human kidney,Anthony Atala,March 2011,3100000,95000,https://ted.com/talks/anthony_atala_printing_a_human_kidney,1,75
How simple ideas lead to scientific discoveries,Adam Savage,November 2011,3100000,94000,https://ted.com/talks/adam_savage_how_simple_ideas_lead_to_scientific_discoveries,1,76
"How Amazon, Apple, Facebook and Google manipulate our emotions",Scott Galloway,October 2017,3100000,94000,https://ted.com/talks/scott_galloway_how_amazon_apple_facebook_and_google_manipulate_our_emotions,1,77
The political power of being a good neighbor,Michael Tubbs,April 2019,3100000,94000,https://ted.com/talks/michael_tubbs_the_political_power_of_being_a_good_neighbor,1,78
How a handful of tech companies control billions of minds every day,Tristan Harris,April 2017,3100000,94000,https://ted.com/talks/tristan_harris_how_a_handful_of_tech_companies_control_billions_of_minds_every_day,1,79
The family I lost in North Korea. And the family I gained.,Joseph Kim,June 2013,3100000,94000,https://ted.com/talks/joseph_kim_the_family_i_lost_in_north_korea_and_the_family_i_gained,1,80
This is your brain on communication,Uri Hasson,February 2016,3100000,94000,https://ted.com/talks/uri_hasson_this_is_your_brain_on_communication,1,81
Can seaweed help curb global warming?,Tim Flannery,July 2019,3100000,94000,https://ted.com/talks/tim_flannery_can_seaweed_help_curb_global_warming,1,82
The chemistry of cookies,Stephanie Warren,November 2013,3100000,94000,https://ted.com/talks/stephanie_warren_the_chemistry_of_cookies,1,83
"Why should you read ""One Hundred Years of Solitude""?",Francisco Díez-Buzo,August 2018,3100000,94000,https://ted.com/talks/francisco_diez_buzo_why_should_you_read_one_hundred_years_of_solitude,1,84
Can you solve the secret werewolf riddle?,Dan Finkel,November 2018,3100000,93000,https://ted.com/talks/dan_finkel_can_you_solve_the_secret_werewolf_riddle,1,85
Why working from home is good for business,Matt Mullenweg,January 2019,3100000,93000,https://ted.com/talks/matt_mullenweg_why_working_from_home_is_good_for_business,1,86
"A talking, squawking parrot",Einstein the Parrot,February 2006,3100000,93000,https://ted.com/talks/einstein_the_parrot_a_talking_squawking_parrot,1,87
Can you solve the cheating royal riddle?,Dan Katz,August 2020,3100000,93000,https://ted.com/talks/dan_katz_can_you_solve_the_cheating_royal_riddle,1,88
Where did the Moon come from? A new theory,Sarah T. Stewart,February 2019,3100000,93000,https://ted.com/talks/sarah_t_stewart_where_did_the_moon_come_from_a_new_theory,1,89
Why bees are disappearing,Marla Spivak,June 2013,3100000,93000,https://ted.com/talks/marla_spivak_why_bees_are_disappearing,1,90
How I harnessed the wind,William Kamkwamba,July 2009,3100000,93000,https://ted.com/talks/william_kamkwamba_how_i_harnessed_the_wind,1,91
Why do some people go bald?,Sarthak Sinha,August 2015,3100000,93000,https://ted.com/talks/sarthak_sinha_why_do_some_people_go_bald,1,92
This is Saturn,Carolyn Porco,March 2007,3100000,93000,https://ted.com/talks/carolyn_porco_this_is_saturn,1,93
Fifty shades of gay,iO Tillett Wright,December 2012,3100000,93000,https://ted.com/talks/io_tillett_wright_fifty_shades_of_gay,1,94
Perspective is everything,Rory Sutherland,December 2011,3100000,93000,https://ted.com/talks/rory_sutherland_perspective_is_everything,1,95
7 principles for building better cities,Peter Calthorpe,April 2017,3000000,92000,https://ted.com/talks/peter_calthorpe_7_principles_for_building_better_cities,1,96
"Robots with ""soul""",Guy Hoffman,October 2013,3000000,92000,https://ted.com/talks/guy_hoffman_robots_with_soul,1,97
"The legend of Annapurna, Hindu goddess of nourishment ",Antara Raychaudhuri and Iseult Gillespie,February 2020,3000000,92000,https://ted.com/talks/antara_raychaudhuri_and_iseult_gillespie_the_legend_of_annapurna_hindu_goddess_of_nourishment,1,98
The mysterious life and death of Rasputin,Eden Girma,January 2020,3000000,92000,https://ted.com/talks/eden_girma_the_mysterious_life_and_death_of_rasputin,1,99
Why I train grandmothers to treat depression,Dixon Chibanda,November 2017,3000000,92000,https://ted.com/talks/dixon_chibanda_why_i_train_grandmothers_to_treat_depression,1,100
My love letter to cosplay,Adam Savage,February 2016,3000000,92000,https://ted.com/talks/adam_savage_my_love_letter_to_cosplay,1,1
The secret to living longer may be your social life,Susan Pinker,April 2017,3000000,92000,https://ted.com/talks/susan_pinker_the_secret_to_living_longer_may_be_your_social_life,1,2
Why students should have mental health days,Hailey Hardcastle,January 2020,3000000,92000,https://ted.com/talks/hailey_hardcastle_why_students_should_have_mental_health_days,1,3
You are fluent in this language (and don't even know it),Christoph Niemann,April 2018,3000000,92000,https://ted.com/talks/christoph_niemann_you_are_fluent_in_this_language_and_don_t_even_know_it,1,4
"How to ask for help — and get a ""yes""",Heidi Grant,June 2019,3000000,92000,https://ted.com/talks/heidi_grant_how_to_ask_for_help_and_get_a_yes,1,5
5 ways to lead in an era of constant change,Jim Hemerling,May 2016,3000000,92000,https://ted.com/talks/jim_hemerling_5_ways_to_lead_in_an_era_of_constant_change,1,6
How Mendel's pea plants helped us understand genetics,Hortensia Jiménez Díaz,March 2013,3000000,91000,https://ted.com/talks/hortensia_jimenez_diaz_how_mendel_s_pea_plants_helped_us_understand_genetics,1,7
"What causes panic attacks, and how can you prevent them?",Cindy J. Aaronson,October 2020,3000000,91000,https://ted.com/talks/cindy_j_aaronson_what_causes_panic_attacks_and_how_can_you_prevent_them,1,8
How to understand power,Eric Liu,November 2014,3000000,91000,https://ted.com/talks/eric_liu_how_to_understand_power,1,9
Is this our final century?,Martin Rees,July 2005,3000000,91000,https://ted.com/talks/martin_rees_is_this_our_final_century,1,10
"The Chinese zodiac, explained",ShaoLan,February 2016,3000000,91000,https://ted.com/talks/shaolan_the_chinese_zodiac_explained,1,11
How to lead a conversation between people who disagree,Eve Pearlman,January 2019,3000000,91000,https://ted.com/talks/eve_pearlman_how_to_lead_a_conversation_between_people_who_disagree,1,12
My identity is a superpower — not an obstacle,America Ferrera,April 2019,3000000,91000,https://ted.com/talks/america_ferrera_my_identity_is_a_superpower_not_an_obstacle,1,13
2 questions to uncover your passion — and turn it into a career,Noeline Kirabo,December 2019,3000000,91000,https://ted.com/talks/noeline_kirabo_2_questions_to_uncover_your_passion_and_turn_it_into_a_career,1,14
Why can't we talk about periods?,Jen Gunter,December 2019,3000000,91000,https://ted.com/talks/jen_gunter_why_can_t_we_talk_about_periods,1,15
Battling bad science,Ben Goldacre,July 2011,3000000,91000,https://ted.com/talks/ben_goldacre_battling_bad_science,1,16
"When local news dies, so does democracy",Chuck Plunkett,June 2019,3000000,91000,https://ted.com/talks/chuck_plunkett_when_local_news_dies_so_does_democracy,1,17
My year of living biblically,A.J. Jacobs,December 2007,3000000,90000,https://ted.com/talks/a_j_jacobs_my_year_of_living_biblically,1,18
What's so funny about mental illness?,Ruby Wax,June 2012,3000000,90000,https://ted.com/talks/ruby_wax_what_s_so_funny_about_mental_illness,1,19
Why we have an emotional connection to robots,Kate Darling,September 2018,3000000,90000,https://ted.com/talks/kate_darling_why_we_have_an_emotional_connection_to_robots,1,20
An electrifying acoustic guitar performance, Rodrigo y Gabriela,March 2015,3000000,90000,https://ted.com/talks/rodrigo_y_gabriela_an_electrifying_acoustic_guitar_performance,1,21
Can you solve the giant cat army riddle?,Dan Finkel,June 2018,3000000,90000,https://ted.com/talks/dan_finkel_can_you_solve_the_giant_cat_army_riddle,1,22
Who am I? Think again,Hetain Patel,June 2013,3000000,90000,https://ted.com/talks/hetain_patel_who_am_i_think_again,1,23
This ancient rock is changing our theory on the origin of life,Tara Djokic,May 2019,3000000,90000,https://ted.com/talks/tara_djokic_this_ancient_rock_is_changing_our_theory_on_the_origin_of_life,1,24
The secret structure of great talks,Nancy Duarte,November 2011,3000000,90000,https://ted.com/talks/nancy_duarte_the_secret_structure_of_great_talks,1,25
How will we survive when the population hits 10 billion?,Charles C. Mann,April 2018,3000000,90000,https://ted.com/talks/charles_c_mann_how_will_we_survive_when_the_population_hits_10_billion,1,26
Our dangerous obsession with perfectionism is getting worse,Thomas Curran,November 2018,3000000,90000,https://ted.com/talks/thomas_curran_our_dangerous_obsession_with_perfectionism_is_getting_worse,1,27
How technology has changed what it's like to be deaf,Rebecca Knill,February 2020,3000000,90000,https://ted.com/talks/rebecca_knill_how_technology_has_changed_what_it_s_like_to_be_deaf,1,28
The birth of a word,Deb Roy,March 2011,3000000,90000,https://ted.com/talks/deb_roy_the_birth_of_a_word,1,29
Would you opt for a life with no pain?,Bethany Rickwald and Hayley Levitt,November 2015,2900000,89000,https://ted.com/talks/bethany_rickwald_and_hayley_levitt_would_you_opt_for_a_life_with_no_pain,1,30
Why is ketchup so hard to pour?,George Zaidan,April 2014,2900000,89000,https://ted.com/talks/george_zaidan_why_is_ketchup_so_hard_to_pour,1,31
The accelerating power of technology,Ray Kurzweil,February 2005,2900000,89000,https://ted.com/talks/ray_kurzweil_the_accelerating_power_of_technology,1,32
Can you solve the multiplying rabbits riddle?,Alex Gendler,January 2019,2900000,89000,https://ted.com/talks/alex_gendler_can_you_solve_the_multiplying_rabbits_riddle,1,33
How your brain decides what is beautiful,Anjan Chatterjee,November 2016,2900000,89000,https://ted.com/talks/anjan_chatterjee_how_your_brain_decides_what_is_beautiful,1,34
Who am I? A philosophical inquiry,Amy Adkins,August 2015,2900000,89000,https://ted.com/talks/amy_adkins_who_am_i_a_philosophical_inquiry,1,35
A doctor's case for medical marijuana,David Casarett,November 2016,2900000,89000,https://ted.com/talks/david_casarett_a_doctor_s_case_for_medical_marijuana,1,36
Photos that bear witness to modern slavery,Lisa Kristine,January 2012,2900000,89000,https://ted.com/talks/lisa_kristine_photos_that_bear_witness_to_modern_slavery,1,37
Pop an ollie and innovate!,Rodney Mullen,May 2012,2900000,89000,https://ted.com/talks/rodney_mullen_pop_an_ollie_and_innovate,1,38
How to make choosing easier,Sheena Iyengar,November 2011,2900000,89000,https://ted.com/talks/sheena_iyengar_how_to_make_choosing_easier,1,39
The healing power of reading,Michelle Kuo,September 2018,2900000,88000,https://ted.com/talks/michelle_kuo_the_healing_power_of_reading,1,40
Why do societies collapse?,Jared Diamond,February 2003,2900000,88000,https://ted.com/talks/jared_diamond_why_do_societies_collapse,1,41
How autism freed me to be myself,Rosie King,September 2014,2900000,88000,https://ted.com/talks/rosie_king_how_autism_freed_me_to_be_myself,1,42
The gentle genius of bonobos,Susan Savage-Rumbaugh,February 2004,2900000,88000,https://ted.com/talks/susan_savage_rumbaugh_the_gentle_genius_of_bonobos,1,43
New York — before the City,Eric Sanderson,July 2009,2900000,88000,https://ted.com/talks/eric_sanderson_new_york_before_the_city,1,44
Greening the ghetto,Majora Carter,February 2006,2900000,88000,https://ted.com/talks/majora_carter_greening_the_ghetto,1,45
Remember to say thank you,Laura Trice,February 2008,2900000,88000,https://ted.com/talks/laura_trice_remember_to_say_thank_you,1,46
Don't fear superintelligent AI,Grady Booch,November 2016,2900000,88000,https://ted.com/talks/grady_booch_don_t_fear_superintelligent_ai,1,47
"The emergence of ""4D printing""",Skylar Tibbits,February 2013,2900000,88000,https://ted.com/talks/skylar_tibbits_the_emergence_of_4d_printing,1,48
The truth about unwanted arousal,Emily Nagoski,April 2018,2900000,88000,https://ted.com/talks/emily_nagoski_the_truth_about_unwanted_arousal,1,49
The pattern behind self-deception,Michael Shermer,February 2010,2900000,88000,https://ted.com/talks/michael_shermer_the_pattern_behind_self_deception,1,50
Why I'm a weekday vegetarian,Graham Hill,February 2010,2900000,88000,https://ted.com/talks/graham_hill_why_i_m_a_weekday_vegetarian,1,51
Embrace the near win,Sarah Lewis,March 2014,2900000,88000,https://ted.com/talks/sarah_lewis_embrace_the_near_win,1,52
So we leaned in ... now what?,Sheryl Sandberg,December 2013,2900000,88000,https://ted.com/talks/sheryl_sandberg_so_we_leaned_in_now_what,1,53
The most groundbreaking scientist you've never heard of,Addison Anderson,October 2013,2900000,88000,https://ted.com/talks/addison_anderson_the_most_groundbreaking_scientist_you_ve_never_heard_of,1,54
The science of skin color,Angela Koine Flynn,February 2016,2900000,88000,https://ted.com/talks/angela_koine_flynn_the_science_of_skin_color,1,55
"How bacteria ""talk""",Bonnie Bassler,February 2009,2900000,88000,https://ted.com/talks/bonnie_bassler_how_bacteria_talk,1,56
Should we eat bugs?,Emma Bryce,January 2014,2900000,87000,https://ted.com/talks/emma_bryce_should_we_eat_bugs,1,57
Where joy hides and how to find it,Ingrid Fetell Lee,April 2018,2900000,87000,https://ted.com/talks/ingrid_fetell_lee_where_joy_hides_and_how_to_find_it,1,58
America's forgotten working class,J.D. Vance,September 2016,2900000,87000,https://ted.com/talks/j_d_vance_america_s_forgotten_working_class,1,59
How we're teaching computers to understand pictures,Fei-Fei Li,March 2015,2900000,87000,https://ted.com/talks/fei_fei_li_how_we_re_teaching_computers_to_understand_pictures,1,60
Math class needs a makeover,Dan Meyer,March 2010,2900000,87000,https://ted.com/talks/dan_meyer_math_class_needs_a_makeover,1,61
A radical plan to end plastic waste,Andrew Forrest,September 2019,2900000,87000,https://ted.com/talks/andrew_forrest_a_radical_plan_to_end_plastic_waste,1,62
Should you live for your résumé ... or your eulogy?,David Brooks,March 2014,2900000,87000,https://ted.com/talks/david_brooks_should_you_live_for_your_resume_or_your_eulogy,1,63
It's OK to feel overwhelmed. Here's what to do next,Elizabeth Gilbert,April 2020,2900000,87000,https://ted.com/talks/elizabeth_gilbert_it_s_ok_to_feel_overwhelmed_here_s_what_to_do_next,1,64
The new American Dream,Courtney E. Martin,February 2016,2900000,87000,https://ted.com/talks/courtney_e_martin_the_new_american_dream,1,65
El Sistema's top youth orchestra,Gustavo Dudamel and the Teresa Carreño Youth Orchestra,February 2009,2900000,87000,https://ted.com/talks/gustavo_dudamel_and_the_teresa_carreno_youth_orchestra_el_sistema_s_top_youth_orchestra,1,66
Dark matter: The matter we can't see,James Gillies,May 2013,2900000,87000,https://ted.com/talks/james_gillies_dark_matter_the_matter_we_can_t_see,1,67
How understanding divorce can help your marriage,Jeannie Suk Gersen,December 2019,2900000,87000,https://ted.com/talks/jeannie_suk_gersen_how_understanding_divorce_can_help_your_marriage,1,68
Why don't we cover the desert with solar panels?,Dan Kwartler,October 2021,2800000,86000,https://ted.com/talks/dan_kwartler_why_don_t_we_cover_the_desert_with_solar_panels,1,69
The danger of AI is weirder than you think,Janelle Shane,April 2019,2800000,86000,https://ted.com/talks/janelle_shane_the_danger_of_ai_is_weirder_than_you_think,1,70
A brief history of toilets,Francis de los Reyes,June 2021,2800000,86000,https://ted.com/talks/francis_de_los_reyes_a_brief_history_of_toilets,1,71
"The difference between being ""not racist"" and antiracist",Ibram X. Kendi,May 2020,2800000,86000,https://ted.com/talks/ibram_x_kendi_the_difference_between_being_not_racist_and_antiracist,1,72
We're all hiding something. Let's find the courage to open up,Ash Beckham,September 2013,2800000,86000,https://ted.com/talks/ash_beckham_we_re_all_hiding_something_let_s_find_the_courage_to_open_up,1,73
Zen kōans: unsolvable enigmas designed to break your brain,Puqun Li,August 2018,2800000,86000,https://ted.com/talks/puqun_li_zen_koans_unsolvable_enigmas_designed_to_break_your_brain,1,74
Should you trust your first impression?,Peter Mende-Siedlecki,August 2013,2800000,86000,https://ted.com/talks/peter_mende_siedlecki_should_you_trust_your_first_impression,1,75
"Why should you read ""Crime and Punishment""?",Alex Gendler,May 2019,2800000,86000,https://ted.com/talks/alex_gendler_why_should_you_read_crime_and_punishment,1,76
Who controls the world?,James B. Glattfelder,October 2012,2800000,86000,https://ted.com/talks/james_b_glattfelder_who_controls_the_world,1,77
My invention that made peace with lions,Richard Turere,February 2013,2800000,86000,https://ted.com/talks/richard_turere_my_invention_that_made_peace_with_lions,1,78
The laws that sex workers really want,Juno Mac,January 2016,2800000,86000,https://ted.com/talks/juno_mac_the_laws_that_sex_workers_really_want,1,79
How to shift your mindset and choose your future,Tom Rivett-Carnac,April 2020,2800000,86000,https://ted.com/talks/tom_rivett_carnac_how_to_shift_your_mindset_and_choose_your_future,1,80
How to have better political conversations,Robb Willer,September 2016,2800000,86000,https://ted.com/talks/robb_willer_how_to_have_better_political_conversations,1,81
A better way to talk about love,Mandy Len Catron,November 2015,2800000,86000,https://ted.com/talks/mandy_len_catron_a_better_way_to_talk_about_love,1,82
The evolution of animal genitalia,Menno Schilthuizen,April 2017,2800000,86000,https://ted.com/talks/menno_schilthuizen_the_evolution_of_animal_genitalia,1,83
Why the world needs WikiLeaks,Julian Assange,July 2010,2800000,86000,https://ted.com/talks/julian_assange_why_the_world_needs_wikileaks,1,84
The search for our solar system's ninth planet,Mike Brown,November 2019,2800000,86000,https://ted.com/talks/mike_brown_the_search_for_our_solar_system_s_ninth_planet,1,85
What you might not know about the Declaration of Independence,Kenneth C. Davis,July 2014,2800000,86000,https://ted.com/talks/kenneth_c_davis_what_you_might_not_know_about_the_declaration_of_independence,1,86
How big is infinity?,Dennis Wildfogel,July 2012,2800000,85000,https://ted.com/talks/dennis_wildfogel_how_big_is_infinity,1,87
What we're learning from online education,Daphne Koller,June 2012,2800000,85000,https://ted.com/talks/daphne_koller_what_we_re_learning_from_online_education,1,88
How the world's longest underwater tunnel was built,Alex Gendler,March 2020,2800000,85000,https://ted.com/talks/alex_gendler_how_the_world_s_longest_underwater_tunnel_was_built,1,89
The jobs we'll lose to machines — and the ones we won't,Anthony Goldbloom,February 2016,2800000,85000,https://ted.com/talks/anthony_goldbloom_the_jobs_we_ll_lose_to_machines_and_the_ones_we_won_t,1,90
Forget Wi-Fi. Meet the new Li-Fi Internet,Harald Haas,September 2015,2800000,85000,https://ted.com/talks/harald_haas_forget_wi_fi_meet_the_new_li_fi_internet,1,91
"Are Elvish, Klingon, Dothraki and Na'vi real languages?",John McWhorter,September 2013,2800000,85000,https://ted.com/talks/john_mcwhorter_are_elvish_klingon_dothraki_and_na_vi_real_languages,1,92
Life's third act,Jane Fonda,December 2011,2800000,85000,https://ted.com/talks/jane_fonda_life_s_third_act,1,93
What happens to your brain during a migraine?,Marianne Schwarz,May 2021,2800000,85000,https://ted.com/talks/marianne_schwarz_what_happens_to_your_brain_during_a_migraine,1,94
The unexpected benefit of celebrating failure,Astro Teller,February 2016,2800000,85000,https://ted.com/talks/astro_teller_the_unexpected_benefit_of_celebrating_failure,1,95
Where are the baby dinosaurs?,Jack Horner,November 2011,2800000,85000,https://ted.com/talks/jack_horner_where_are_the_baby_dinosaurs,1,96
The math behind basketball's wildest moves,Rajiv Maheswaran,March 2015,2800000,85000,https://ted.com/talks/rajiv_maheswaran_the_math_behind_basketball_s_wildest_moves,1,97
Your body is my canvas,Alexa Meade,June 2013,2800000,85000,https://ted.com/talks/alexa_meade_your_body_is_my_canvas,1,98
How technology can fight extremism and online harassment,Yasmin Green,April 2018,2800000,85000,https://ted.com/talks/yasmin_green_how_technology_can_fight_extremism_and_online_harassment,1,99
How to turn a group of strangers into a team,Amy Edmondson,October 2017,2800000,85000,https://ted.com/talks/amy_edmondson_how_to_turn_a_group_of_strangers_into_a_team,1,100
How to be your best self in times of crisis,Susan David,March 2020,2800000,84000,https://ted.com/talks/susan_david_how_to_be_your_best_self_in_times_of_crisis,1,1
A whistleblower you haven't heard,Geert Chatrou,June 2010,2800000,84000,https://ted.com/talks/geert_chatrou_a_whistleblower_you_haven_t_heard,1,2
The killer American diet that's sweeping the planet,Dean Ornish,February 2006,2800000,84000,https://ted.com/talks/dean_ornish_the_killer_american_diet_that_s_sweeping_the_planet,1,3
Embrace the shake,Phil Hansen,February 2013,2800000,84000,https://ted.com/talks/phil_hansen_embrace_the_shake,1,4
The math and magic of origami,Robert Lang,February 2008,2800000,84000,https://ted.com/talks/robert_lang_the_math_and_magic_of_origami,1,5
"""Good"" and ""bad"" are incomplete stories we tell ourselves",Heather Lanier,October 2017,2800000,84000,https://ted.com/talks/heather_lanier_good_and_bad_are_incomplete_stories_we_tell_ourselves,1,6
My road trip through the whitest towns in America,Rich Benjamin,May 2015,2800000,84000,https://ted.com/talks/rich_benjamin_my_road_trip_through_the_whitest_towns_in_america,1,7
A headset that reads your brainwaves,Tan Le,July 2010,2800000,84000,https://ted.com/talks/tan_le_a_headset_that_reads_your_brainwaves,1,8
The first 21 days of a bee's life,Anand Varma,March 2015,2700000,83000,https://ted.com/talks/anand_varma_the_first_21_days_of_a_bee_s_life,1,9
"What ""Orwellian"" really means",Noah Tavlin,October 2015,2700000,83000,https://ted.com/talks/noah_tavlin_what_orwellian_really_means,1,10
How I beat stage fright,Joe Kowan,November 2013,2700000,83000,https://ted.com/talks/joe_kowan_how_i_beat_stage_fright,1,11
My secret to staying focused under pressure,Russell Wilson,May 2020,2700000,83000,https://ted.com/talks/russell_wilson_my_secret_to_staying_focused_under_pressure,1,12
The beauty of human skin in every color,Angélica Dass,February 2016,2700000,83000,https://ted.com/talks/angelica_dass_the_beauty_of_human_skin_in_every_color,1,13
"My daughter, Malala",Ziauddin Yousafzai,March 2014,2700000,83000,https://ted.com/talks/ziauddin_yousafzai_my_daughter_malala,1,14
What the discovery of gravitational waves means,Allan Adams,February 2016,2700000,83000,https://ted.com/talks/allan_adams_what_the_discovery_of_gravitational_waves_means,1,15
What is fat?,George Zaidan,May 2013,2700000,83000,https://ted.com/talks/george_zaidan_what_is_fat,1,16
How big is the ocean?,Scott Gass,June 2013,2700000,83000,https://ted.com/talks/scott_gass_how_big_is_the_ocean,1,17
How Airbnb designs for trust,Joe Gebbia,February 2016,2700000,83000,https://ted.com/talks/joe_gebbia_how_airbnb_designs_for_trust,1,18
What reading slowly taught me about writing,Jacqueline Woodson,April 2019,2700000,83000,https://ted.com/talks/jacqueline_woodson_what_reading_slowly_taught_me_about_writing,1,19
A shark-deterrent wetsuit (and it's not what you think),Hamish Jolly,October 2013,2700000,83000,https://ted.com/talks/hamish_jolly_a_shark_deterrent_wetsuit_and_it_s_not_what_you_think,1,20
Why it's so hard to cure HIV/AIDS,Janet Iwasa,March 2015,2700000,83000,https://ted.com/talks/janet_iwasa_why_it_s_so_hard_to_cure_hiv_aids,1,21
A girl who demanded school,Kakenya Ntaiya,October 2012,2700000,82000,https://ted.com/talks/kakenya_ntaiya_a_girl_who_demanded_school,1,22
Why great architecture should tell a story,Ole Scheeren,September 2015,2700000,82000,https://ted.com/talks/ole_scheeren_why_great_architecture_should_tell_a_story,1,23
Did the Amazons really exist?,Adrienne Mayor,June 2018,2700000,82000,https://ted.com/talks/adrienne_mayor_did_the_amazons_really_exist,1,24
Design at the intersection of technology and biology,Neri Oxman,March 2015,2700000,82000,https://ted.com/talks/neri_oxman_design_at_the_intersection_of_technology_and_biology,1,25
Happy maps,Daniele Quercia,November 2014,2700000,82000,https://ted.com/talks/daniele_quercia_happy_maps,1,26
What we learn before we're born,Annie Murphy Paul,July 2011,2700000,82000,https://ted.com/talks/annie_murphy_paul_what_we_learn_before_we_re_born,1,27
"Forget multitasking, try monotasking",Paolo Cardini,June 2012,2700000,82000,https://ted.com/talks/paolo_cardini_forget_multitasking_try_monotasking,1,28
Talk nerdy to me,Melissa Marshall,June 2012,2700000,82000,https://ted.com/talks/melissa_marshall_talk_nerdy_to_me,1,29
The levitating superconductor,Boaz Almog,June 2012,2700000,82000,https://ted.com/talks/boaz_almog_the_levitating_superconductor,1,30
